ID	Pathogen	Pathogen Taxonomy	Source	Taxonomy ID	Transmission Method	Host/Reservoir	Taxonomy ID	Disease	Anatomy	Symptoms/Documentation/Attributes
TI:0000212	Burkholderia mallei	13373	unknown		unknown	Oryctolagus cuniculus	9986	Glanders	unknown	PMID:14742564
TI:0000211	Burkholderia mallei	13373	unknown		unknown	Cavia	10140	Glanders	unknown	PMID:14742564
TI:0000210	Burkholderia mallei	13373	unknown		unknown	Mus	10088	Glanders	unknown	PMID:14742564
TI:0000209	Burkholderia mallei	13373	unknown		unknown	Felis catus	9685	Glanders	unknown	PMID:16466896
TI:0000208	Burkholderia mallei	13373	unknown		unknown	Canis lupus familiaris	9615	Glanders	unknown	PMID:16466896
TI:0000207	Burkholderia mallei	13373	unknown		unknown	Capra hircus	9925	Glanders	unknown	PMID:16466896
TI:0000201	Burkholderia mallei	13373	air		indirect: airborne	Homo sapiens	9606	Septicemia	respiratory system	PMID:15677841
TI:0000200	Burkholderia mallei	13373	not curated		direct: contact	Homo sapiens	9606	Septicemia	skin	PMID:15677841
TI:0000199	Burkholderia mallei	13373	air		indirect: airborne	Homo sapiens	9606	Glanders	respiratory system	PMID:14742564,PMID:1567784
TI:0000198	Burkholderia mallei	13373	unknown		direct: contact	Homo sapiens	9606	Glanders	mucous membrane	
TI:0000197	Burkholderia mallei	13373	air		indirect: airborne	Equus caballus	9796	Glanders	respiratory system	PMID:12240535
TI:0000196	Burkholderia mallei	13373	Homo sapiens	9606	direct: contact	Homo sapiens	9606	Glanders	skin	PMID:10923853,PMID:11474663
TI:0000234	Burkholderia mallei ATCC 23344	243160	not curated		direct: contact	Homo sapiens	9606	Glanders	skin	
TI:0000202	Burkholderia mallei ATCC 23344	243160	unknown		unknown	Equus caballus	9796	Glanders	unknown	PMID:15377793,PMID:16466896
TI:0000203	Burkholderia mallei FMH	334802	unknown		unknown	Homo sapiens	9606	Glanders	unknown	
TI:0000204	Burkholderia mallei GB8 horse 4	320390	unknown		unknown	Equus caballus	9796	Glanders	unknown	
TI:0000205	Burkholderia mallei JHU	334803	unknown		unknown	Homo sapiens	9606	Glanders	unknown	
TI:0000206	Burkholderia mallei SAVP1	320388	unknown		unknown	Equus caballus	9796	Glanders	unknown	
TI:0000428	Burkholderia pseudomallei	28450	unknown		unknown	Halichoerus grypus	9711	Melioidosis	kidney	PMID:10860161
TI:0000427	Burkholderia pseudomallei	28450	unknown		unknown	Halichoerus grypus	9711	Melioidosis	lymph node	PMID:10860161
TI:0000426	Burkholderia pseudomallei	28450	unknown		unknown	Halichoerus grypus	9711	Melioidosis	lung	PMID:10860161
TI:0000425	Burkholderia pseudomallei	28450	unknown		unknown	Halichoerus grypus	9711	Melioidosis	spleen	PMID:10860161
TI:0000424	Burkholderia pseudomallei	28450	unknown		unknown	Halichoerus grypus	9711	Melioidosis	liver	PMID:10860161
TI:0000423	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Halichoerus grypus	9711	Melioidosis	digestive system	PMID:10860161,PMID:15525357
